,Store,Date,Year,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Week_Sales,Type,Size,timeDiff,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5
23,1,7/9/10,2010,80.48,2.642,211.108414,7.787,FALSE,1546074.18,A,151315,189,NA,NA,NA,NA,NA
24,1,7/16/10,2010,83.15,2.623,211.1003854,7.787,FALSE,1448938.92,A,151315,196,NA,NA,NA,NA,NA
25,1,7/23/10,2010,83.36,2.608,211.2351443,7.787,FALSE,1385065.2,A,151315,203,NA,NA,NA,NA,NA
26,1,7/30/10,2010,81.84,2.64,211.3699032,7.787,FALSE,1371986.6,A,151315,210,NA,NA,NA,NA,NA
27,1,8/6/10,2010,87.16,2.627,211.5046621,7.787,FALSE,1605491.78,A,151315,217,NA,NA,NA,NA,NA
28,1,8/13/10,2010,87,2.692,211.6394211,7.787,FALSE,1508237.76,A,151315,224,NA,NA,NA,NA,NA
29,1,8/20/10,2010,86.65,2.664,211.6033633,7.787,FALSE,1513080.49,A,151315,231,NA,NA,NA,NA,NA
30,1,8/27/10,2010,85.22,2.619,211.5673056,7.787,FALSE,1449142.92,A,151315,238,NA,NA,NA,NA,NA
31,1,9/3/10,2010,81.21,2.577,211.5312479,7.787,FALSE,1540163.53,A,151315,245,NA,NA,NA,NA,NA
32,1,9/10/10,2010,78.69,2.565,211.4951902,7.787,TRUE,1507460.69,A,151315,252,NA,NA,NA,NA,NA
33,1,9/17/10,2010,82.11,2.582,211.5224596,7.787,FALSE,1430378.67,A,151315,259,NA,NA,NA,NA,NA
34,1,9/24/10,2010,80.94,2.624,211.5972246,7.787,FALSE,1351791.03,A,151315,266,NA,NA,NA,NA,NA
35,1,10/1/10,2010,71.89,2.603,211.6719895,7.838,FALSE,1453329.5,A,151315,273,NA,NA,NA,NA,NA
36,1,10/8/10,2010,63.93,2.633,211.7467544,7.838,FALSE,1508239.93,A,151315,280,NA,NA,NA,NA,NA
37,1,10/15/10,2010,67.18,2.72,211.8137436,7.838,FALSE,1459409.1,A,151315,287,NA,NA,NA,NA,NA
38,1,10/22/10,2010,69.86,2.725,211.8612937,7.838,FALSE,1345454,A,151315,294,NA,NA,NA,NA,NA
39,1,10/29/10,2010,69.64,2.716,211.9088438,7.838,FALSE,1384209.22,A,151315,301,NA,NA,NA,NA,NA
40,1,11/5/10,2010,58.74,2.689,211.9563939,7.838,FALSE,1551659.28,A,151315,308,NA,NA,NA,NA,NA
41,1,11/12/10,2010,59.61,2.728,212.003944,7.838,FALSE,1494479.49,A,151315,315,NA,NA,NA,NA,NA
42,1,11/19/10,2010,51.41,2.771,211.8896737,7.838,FALSE,1483784.18,A,151315,322,NA,NA,NA,NA,NA
43,1,11/26/10,2010,64.52,2.735,211.7484333,7.838,TRUE,1955624.11,A,151315,329,NA,NA,NA,NA,NA
44,1,12/3/10,2010,49.27,2.708,211.607193,7.838,FALSE,1548033.78,A,151315,336,NA,NA,NA,NA,NA
45,1,12/10/10,2010,46.33,2.843,211.4659526,7.838,FALSE,1682614.26,A,151315,343,NA,NA,NA,NA,NA
46,1,12/17/10,2010,49.84,2.869,211.4053124,7.838,FALSE,1891034.93,A,151315,350,NA,NA,NA,NA,NA
47,1,12/24/10,2010,52.33,2.886,211.4051222,7.838,FALSE,2387950.2,A,151315,357,NA,NA,NA,NA,NA
48,1,12/31/10,2010,48.43,2.943,211.4049321,7.838,TRUE,1367320.01,A,151315,364,NA,NA,NA,NA,NA
49,1,1/7/11,2011,48.27,2.976,211.4047419,7.742,FALSE,1444732.28,A,151315,-330,NA,NA,NA,NA,NA
50,1,1/14/11,2011,35.4,2.983,211.4574109,7.742,FALSE,1391013.96,A,151315,-323,NA,NA,NA,NA,NA
51,1,1/21/11,2011,44.04,3.016,211.8272343,7.742,FALSE,1327405.42,A,151315,-316,NA,NA,NA,NA,NA
52,1,1/28/11,2011,43.83,3.01,212.1970577,7.742,FALSE,1316899.31,A,151315,-309,NA,NA,NA,NA,NA
53,1,2/4/11,2011,42.27,2.989,212.5668812,7.742,FALSE,1606629.58,A,151315,-302,NA,NA,NA,NA,NA
54,1,2/11/11,2011,36.39,3.022,212.9367046,7.742,TRUE,1649614.93,A,151315,-295,NA,NA,NA,NA,NA
55,1,2/18/11,2011,57.36,3.045,213.2478853,7.742,FALSE,1686842.78,A,151315,-288,NA,NA,NA,NA,NA
56,1,2/25/11,2011,62.9,3.065,213.535609,7.742,FALSE,1456800.28,A,151315,-281,NA,NA,NA,NA,NA
57,1,3/4/11,2011,59.58,3.288,213.8233327,7.742,FALSE,1636263.41,A,151315,-274,NA,NA,NA,NA,NA
58,1,3/11/11,2011,53.56,3.459,214.1110564,7.742,FALSE,1553191.63,A,151315,-267,NA,NA,NA,NA,NA
59,1,3/18/11,2011,62.76,3.488,214.3627114,7.742,FALSE,1576818.06,A,151315,-260,NA,NA,NA,NA,NA
60,1,3/25/11,2011,69.97,3.473,214.5999389,7.742,FALSE,1541102.38,A,151315,-253,NA,NA,NA,NA,NA
61,1,4/1/11,2011,59.17,3.524,214.8371664,7.682,FALSE,1495064.75,A,151315,-246,NA,NA,NA,NA,NA
62,1,4/8/11,2011,67.84,3.622,215.0743939,7.682,FALSE,1614259.35,A,151315,-239,NA,NA,NA,NA,NA
63,1,4/15/11,2011,71.27,3.743,215.2918561,7.682,FALSE,1559889,A,151315,-232,NA,NA,NA,NA,NA
64,1,4/22/11,2011,72.99,3.807,215.4599053,7.682,FALSE,1564819.81,A,151315,-225,NA,NA,NA,NA,NA
65,1,4/29/11,2011,72.03,3.81,215.6279544,7.682,FALSE,1455090.69,A,151315,-218,NA,NA,NA,NA,NA
66,1,5/6/11,2011,64.61,3.906,215.7960035,7.682,FALSE,1629391.28,A,151315,-211,NA,NA,NA,NA,NA
67,1,5/13/11,2011,75.64,3.899,215.9640526,7.682,FALSE,1604775.58,A,151315,-204,NA,NA,NA,NA,NA
68,1,5/20/11,2011,67.63,3.907,215.7339202,7.682,FALSE,1428218.27,A,151315,-197,NA,NA,NA,NA,NA
69,1,5/27/11,2011,77.72,3.786,215.5037878,7.682,FALSE,1466046.67,A,151315,-190,NA,NA,NA,NA,NA
70,1,6/3/11,2011,83,3.699,215.2736553,7.682,FALSE,1635078.41,A,151315,-183,NA,NA,NA,NA,NA
71,1,6/10/11,2011,83.13,3.648,215.0435229,7.682,FALSE,1588948.32,A,151315,-176,NA,NA,NA,NA,NA
72,1,6/17/11,2011,86.41,3.637,214.9980596,7.682,FALSE,1532114.86,A,151315,-169,NA,NA,NA,NA,NA
73,1,6/24/11,2011,83.58,3.594,215.0910982,7.682,FALSE,1438830.15,A,151315,-162,NA,NA,NA,NA,NA
74,1,7/1/11,2011,85.55,3.524,215.1841368,7.962,FALSE,1488538.09,A,151315,-155,NA,NA,NA,NA,NA
75,1,7/8/11,2011,85.83,3.48,215.2771754,7.962,FALSE,1534849.64,A,151315,-148,NA,NA,NA,NA,NA
76,1,7/15/11,2011,88.54,3.575,215.3611087,7.962,FALSE,1455119.97,A,151315,-141,NA,NA,NA,NA,NA
77,1,7/22/11,2011,85.77,3.651,215.4222784,7.962,FALSE,1396926.82,A,151315,-134,NA,NA,NA,NA,NA
78,1,7/29/11,2011,86.83,3.682,215.4834482,7.962,FALSE,1352219.79,A,151315,-127,NA,NA,NA,NA,NA
79,1,8/5/11,2011,91.65,3.684,215.544618,7.962,FALSE,1624383.75,A,151315,-120,NA,NA,NA,NA,NA
80,1,8/12/11,2011,90.76,3.638,215.6057878,7.962,FALSE,1525147.09,A,151315,-113,NA,NA,NA,NA,NA
81,1,8/19/11,2011,89.94,3.554,215.6693107,7.962,FALSE,1530761.43,A,151315,-106,NA,NA,NA,NA,NA
82,1,8/26/11,2011,87.96,3.523,215.7332258,7.962,FALSE,1464693.46,A,151315,-99,NA,NA,NA,NA,NA
83,1,9/2/11,2011,87.83,3.533,215.7971409,7.962,FALSE,1550229.22,A,151315,-92,NA,NA,NA,NA,NA
84,1,9/9/11,2011,76,3.546,215.861056,7.962,TRUE,1540471.24,A,151315,-85,NA,NA,NA,NA,NA
85,1,9/16/11,2011,79.94,3.526,216.0410526,7.962,FALSE,1514259.78,A,151315,-78,NA,NA,NA,NA,NA
86,1,9/23/11,2011,75.8,3.467,216.3758246,7.962,FALSE,1380020.27,A,151315,-71,NA,NA,NA,NA,NA
87,1,9/30/11,2011,79.69,3.355,216.7105965,7.962,FALSE,1394561.83,A,151315,-64,NA,NA,NA,NA,NA
88,1,10/7/11,2011,69.31,3.285,217.0453684,7.866,FALSE,1630989.95,A,151315,-57,NA,NA,NA,NA,NA
89,1,10/14/11,2011,71.74,3.274,217.3552733,7.866,FALSE,1493525.93,A,151315,-50,NA,NA,NA,NA,NA
90,1,10/21/11,2011,63.71,3.353,217.5159762,7.866,FALSE,1502562.78,A,151315,-43,NA,NA,NA,NA,NA
91,1,10/28/11,2011,66.57,3.372,217.6766791,7.866,FALSE,1445249.09,A,151315,-36,NA,NA,NA,NA,NA
92,1,11/4/11,2011,54.98,3.332,217.837382,7.866,FALSE,1697229.58,A,151315,-29,NA,NA,NA,NA,NA
93,1,11/11/11,2011,59.11,3.297,217.9980849,7.866,FALSE,1594938.89,A,151315,-22,10382.9,6115.67,215.07,2406.62,6551.42
94,1,11/18/11,2011,62.25,3.308,218.2205088,7.866,FALSE,1539483.7,A,151315,-15,6074.12,254.39,51.98,427.39,5988.57
95,1,11/25/11,2011,60.14,3.236,218.4676211,7.866,TRUE,2033320.66,A,151315,-8,410.31,98,55805.51,8,554.92
96,1,12/2/11,2011,48.91,3.172,218.7147333,7.866,FALSE,1584083.95,A,151315,-1,5629.51,68,1398.11,2084.64,20475.32
97,1,12/9/11,2011,43.93,3.158,218.9618456,7.866,FALSE,1799682.38,A,151315,6,4640.65,19,105.02,3639.42,14461.82
98,1,12/16/11,2011,51.63,3.159,219.1794533,7.866,FALSE,1881176.67,A,151315,13,5011.32,67,347.37,225.79,4011.37
99,1,12/23/11,2011,47.96,3.112,219.3577216,7.866,FALSE,2270188.99,A,151315,20,2725.36,40.48,634.7,24.9,2739.43
100,1,12/30/11,2011,44.55,3.129,219.5359898,7.866,TRUE,1497462.72,A,151315,27,5762.1,46011.38,260.36,983.65,4735.78
101,1,1/6/12,2012,49.01,3.157,219.7142581,7.348,FALSE,1550369.92,A,151315,-695,6277.39,21813.16,143.1,1450.13,8483
102,1,1/13/12,2012,48.53,3.261,219.8925263,7.348,FALSE,1459601.17,A,151315,-688,5183.29,8025.87,42.24,453.08,3719.38
103,1,1/20/12,2012,54.11,3.268,219.9856893,7.348,FALSE,1394393.84,A,151315,-681,4139.87,2807.19,33.88,500.62,3400.21
104,1,1/27/12,2012,54.26,3.29,220.0788523,7.348,FALSE,1319325.59,A,151315,-674,1164.46,1082.74,44,11,1222.19
105,1,2/3/12,2012,56.55,3.36,220.1720153,7.348,FALSE,1636339.65,A,151315,-667,34577.06,3579.21,160.53,32403.87,5630.4
106,1,2/10/12,2012,48.02,3.409,220.2651783,7.348,TRUE,1802477.43,A,151315,-660,13925.06,6927.23,101.64,8471.88,6886.04
107,1,2/17/12,2012,45.32,3.51,220.4257586,7.348,FALSE,1819870,A,151315,-653,9873.33,11062.27,9.8,8409.31,3402.66
108,1,2/24/12,2012,57.25,3.555,220.636902,7.348,FALSE,1539387.83,A,151315,-646,9349.61,7556.01,3.2,1219.92,8143.59
109,1,3/2/12,2012,60.96,3.63,220.8480454,7.348,FALSE,1688420.76,A,151315,-639,15441.4,1569,10.8,25390.88,8067.61
110,1,3/9/12,2012,58.76,3.669,221.0591887,7.348,FALSE,1675431.16,A,151315,-632,10331.04,151.88,6,671.43,5509.84
111,1,3/16/12,2012,64.74,3.734,221.2118132,7.348,FALSE,1677472.78,A,151315,-625,4298.16,7.5,2.02,2724.65,2017.69
112,1,3/23/12,2012,65.93,3.787,221.2864126,7.348,FALSE,1511068.07,A,151315,-618,6118.56,9.48,4.97,426.72,3657.22
113,1,3/30/12,2012,67.61,3.845,221.3610119,7.348,FALSE,1649604.63,A,151315,-611,10309.58,0.5,10.25,1654.17,2642.78
114,1,4/6/12,2012,70.43,3.891,221.4356112,7.143,FALSE,1899676.88,A,151315,-604,10121.97,NA,77.98,3750.59,4510.72
115,1,4/13/12,2012,69.07,3.891,221.5102105,7.143,FALSE,1621031.7,A,151315,-597,6186.19,3288.69,17.07,1822.55,1063.78
116,1,4/20/12,2012,66.76,3.877,221.5640737,7.143,FALSE,1521577.87,A,151315,-590,2230.8,612.02,19.75,275.13,5747.1
117,1,4/27/12,2012,67.23,3.814,221.6179368,7.143,FALSE,1468928.37,A,151315,-583,3221.25,NA,35.49,577.14,6222.25
118,1,5/4/12,2012,75.55,3.749,221.6718,7.143,FALSE,1684519.99,A,151315,-576,21290.13,NA,69.89,4977.35,3261.04
119,1,5/11/12,2012,73.77,3.688,221.7256632,7.143,FALSE,1611096.05,A,151315,-569,8351.4,NA,10.52,2443.14,3127.88
120,1,5/18/12,2012,70.33,3.63,221.742674,7.143,FALSE,1595901.87,A,151315,-562,6154.14,NA,45.11,1675.49,5508.18
121,1,5/25/12,2012,77.22,3.561,221.744944,7.143,FALSE,1555444.55,A,151315,-555,4039.39,NA,745.19,1429.96,3631.13
122,1,6/1/12,2012,77.95,3.501,221.7472139,7.143,FALSE,1624477.58,A,151315,-548,6086.21,12,370.51,148.75,3690.85
123,1,6/8/12,2012,78.3,3.452,221.7494839,7.143,FALSE,1697230.96,A,151315,-541,8813.81,116.8,64.55,2652.04,7161.91
124,1,6/15/12,2012,79.35,3.393,221.7626421,7.143,FALSE,1630607,A,151315,-534,5621.99,109.6,0.25,2420.28,3083.26
125,1,6/22/12,2012,78.39,3.346,221.8030211,7.143,FALSE,1527845.81,A,151315,-527,8624.56,171.25,3.05,2524.07,7063.68
126,1,6/29/12,2012,84.88,3.286,221.8434,7.143,FALSE,1540421.49,A,151315,-520,3965.73,161.6,NA,435.99,4212.97
127,1,7/6/12,2012,81.57,3.227,221.8837789,6.908,FALSE,1769854.16,A,151315,-513,12218.76,94.4,192.83,4066.01,6149.04
128,1,7/13/12,2012,77.12,3.256,221.9241579,6.908,FALSE,1527014.04,A,151315,-506,7218.13,45.2,36.24,3909.38,2596.37
129,1,7/20/12,2012,80.42,3.311,221.9327267,6.908,FALSE,1497954.76,A,151315,-499,3213,313.72,9.53,2262.02,3228.19
130,1,7/27/12,2012,82.66,3.407,221.9412954,6.908,FALSE,1439123.71,A,151315,-492,7146.9,389.02,1.59,10267.54,4325.19
131,1,8/3/12,2012,86.11,3.417,221.9498642,6.908,FALSE,1631135.79,A,151315,-485,27584.78,119.98,30.23,12007.04,4661.71
132,1,8/10/12,2012,85.05,3.494,221.9584329,6.908,FALSE,1592409.97,A,151315,-478,11436.22,245,6.85,6964.26,4836.22
133,1,8/17/12,2012,84.85,3.571,222.0384109,6.908,FALSE,1597868.05,A,151315,-471,3662.06,137.86,4.84,2752.2,3446.15
134,1,8/24/12,2012,77.66,3.62,222.1719457,6.908,FALSE,1494122.38,A,151315,-464,6237.83,260.06,2.97,3463.03,7988.25
135,1,8/31/12,2012,80.49,3.638,222.3054805,6.908,FALSE,1582083.4,A,151315,-457,21442.73,102.32,21.7,13209.64,3032.96
136,1,9/7/12,2012,83.96,3.73,222.4390153,6.908,TRUE,1661767.33,A,151315,-450,5204.68,35.74,50.94,4120.32,2737.17
137,1,9/14/12,2012,74.97,3.717,222.5820193,6.908,FALSE,1517428.87,A,151315,-443,17212.52,7,18.79,1523.11,7992.72
138,1,9/21/12,2012,69.87,3.721,222.7818386,6.908,FALSE,1506126.06,A,151315,-436,6352.3,7.64,4.69,1010.06,6456.71
139,1,9/28/12,2012,76.08,3.666,222.9816579,6.908,FALSE,1437059.26,A,151315,-429,3666.27,7.64,1.65,1417.96,4744.28
140,1,10/5/12,2012,68.55,3.617,223.1814772,6.573,FALSE,1670785.97,A,151315,-422,8077.89,NA,18.22,3617.43,3626.14
141,1,10/12/12,2012,62.99,3.601,223.3812965,6.573,FALSE,1573072.81,A,151315,-415,2086.18,NA,8.11,602.36,5926.45
142,1,10/19/12,2012,67.97,3.594,223.4257233,6.573,FALSE,1508068.77,A,151315,-408,950.33,NA,4.93,80.25,2312.85
143,1,10/26/12,2012,69.16,3.506,223.4442513,6.573,FALSE,1493659.74,A,151315,-401,2585.85,31.75,6,1057.16,1305.01
144,1,11/2/12,2012,55.32,3.386,223.4627793,6.573,FALSE,2136989.46,A,202307,-394,6766.44,5147.7,50.82,3639.9,2737.42
145,1,11/9/12,2012,61.24,3.314,223.4813073,6.573,FALSE,2137809.5,A,202307,-387,11421.32,3370.89,40.28,4646.79,6154.16
146,1,11/16/12,2012,52.92,3.252,223.5129105,6.573,FALSE,2124451.54,A,202307,-380,9696.28,292.1,103.78,1133.15,6612.69
147,1,11/23/12,2012,56.23,3.211,223.5619474,6.573,TRUE,1865097.27,A,202307,-373,883.59,4.17,74910.32,209.91,303.32
148,1,11/30/12,2012,52.34,3.207,223.6109842,6.573,FALSE,1991013.13,A,202307,-366,2460.03,NA,3838.35,150.57,6966.34
149,1,12/7/12,2012,64.12,3.198,223.6600211,6.573,FALSE,1990483.78,A,202307,-359,6343.16,NA,270,2928.9,10147.9
150,1,12/14/12,2012,48.89,3.168,223.7192767,6.573,FALSE,1946070.88,A,202307,-352,3504.83,NA,73.26,1636.8,2779.6
151,1,12/21/12,2012,56.02,3.098,223.8398455,6.573,FALSE,1750197.81,A,202307,-345,8231.71,NA,274,358.15,2834.02
152,1,12/28/12,2012,44.79,3.108,223.9604143,6.573,TRUE,2066187.72,A,202307,-338,12659.55,37101.13,174.78,74.46,1208.86
153,1,1/4/13,2013,41.73,3.161,224.080983,6.525,FALSE,1954689.21,A,202307,-1061,1214.08,25366.33,15.01,72.36,3940.02
154,1,1/11/13,2013,50.32,3.243,224.2015518,6.525,FALSE,1874957.94,A,202307,-1054,6520.24,16134.6,12.17,774.55,4001.25
155,1,1/18/13,2013,42.92,3.237,224.2358132,6.525,FALSE,1821990.93,A,202307,-1047,3772.69,3559.46,3.88,246.62,1900.4
156,1,1/25/13,2013,53.37,3.227,224.2355518,6.525,FALSE,1802450.29,A,202307,-1040,965.89,1097.91,0.1,225.36,1831.88
157,1,2/1/13,2013,56.46,3.244,224.2352903,6.525,FALSE,2042581.71,A,202307,-1033,9290.91,1359.9,265,20657.82,972.61
158,1,2/8/13,2013,56.67,3.417,224.2350289,6.525,TRUE,1880752.36,A,202307,-1026,32355.16,729.8,280.89,20426.61,4671.78
159,1,2/15/13,2013,49.66,3.475,224.2760526,6.525,FALSE,1896937.1,A,202307,-1019,72937.29,6665.52,47.21,13014.67,6310.18
160,1,2/22/13,2013,50.25,3.597,224.4202895,6.525,FALSE,1957113.89,A,202307,-1012,20107.75,3163.89,42.2,15657.3,5812.86
161,1,3/1/13,2013,48.01,3.711,224.5645263,6.525,FALSE,2102539.93,A,202307,-1005,10610.74,261.46,2.8,25.54,2747.59
162,1,3/8/13,2013,50.81,3.658,224.7087632,6.525,FALSE,2025538.76,A,202307,-998,5000.58,290.46,78.77,606.15,3697.11
163,1,3/15/13,2013,55.33,3.622,224.8356808,6.525,FALSE,2001636.96,A,202307,-991,3808.13,NA,15.65,2616.6,1909.17
164,1,3/22/13,2013,63.42,3.611,224.9193005,6.525,FALSE,1939927.09,A,202307,-984,12553.98,NA,495.1,6787.75,2545.66
165,1,3/29/13,2013,51,3.606,225.0029202,6.525,FALSE,2003940.64,A,202307,-977,13067.46,NA,384.9,122.93,3903.8
166,1,4/5/13,2013,58.59,3.583,225.0865399,6.314,FALSE,1880902.62,A,202307,-970,12872.34,5687.86,485.97,478.04,5092.33
167,1,4/12/13,2013,62.72,3.529,225.1701596,6.314,FALSE,1845879.79,A,202307,-963,3672.43,932.58,52.86,949.07,2836.64
168,1,4/19/13,2013,67.1,3.451,225.1701596,6.314,FALSE,1781717.71,A,202307,-956,3530.36,3.95,107.5,458.76,2062.05
169,1,4/26/13,2013,59.23,3.417,225.1701596,6.314,FALSE,1804246.16,A,202307,-949,2387.72,NA,98.34,516.28,1421.63
170,1,5/3/13,2013,66.66,3.386,224.9789,6.307998593,FALSE,1991909.98,A,202307,-942,2298.63,2,129.9,55.46,1301.04
171,1,5/10/13,2013,63.9,3.392,224.9956,6.305940415,FALSE,1895601.05,A,202307,-935,4624.61,83.88,42.38,1618.31,8144.9
172,1,5/17/13,2013,69.53,3.454,224.916,6.305085466,FALSE,1964335.23,A,202307,-928,16170.5,92,8.32,4127.24,6206.97
173,1,5/24/13,2013,77.19,3.494,224.8289,6.304230516,FALSE,1863840.49,A,202307,-921,7959.89,178,1621.47,3152.57,2938.7
174,1,5/31/13,2013,78.02,3.466,224.7401,6.303365004,FALSE,1904608.09,A,202307,-914,2369.77,142.45,475.35,45.55,2056.84
175,1,6/7/13,2013,76.44,3.439,224.6602,6.301405497,FALSE,1839128.83,A,202307,-907,3514.75,742.59,116.15,1015.44,5137.09
176,1,6/14/13,2013,79.86,3.431,224.5782,6.29944599,FALSE,1793903.6,A,202307,-900,12592.32,527.48,402.88,7474.56,2484.44
177,1,6/21/13,2013,81.35,3.479,224.5267,6.297486483,FALSE,1724557.22,A,202307,-893,8104.02,417.99,327.33,5182.25,3754.44
178,1,6/28/13,2013,83.94,3.495,224.474,6.391956969,FALSE,1827440.43,A,202307,-886,4205.98,796.7,6.84,3816.78,4812.74
179,1,7/5/13,2013,79.85,3.422,224.4201,6.300431871,FALSE,1849921.44,A,202307,-879,7649.99,3503.29,1766.77,9454.96,1079.89
180,1,7/12/13,2013,83.12,3.4,224.3878,6.298468814,FALSE,1794355.49,A,202307,-872,6089.94,1362.42,209.62,2367.42,2651.05
181,1,7/19/13,2013,79.26,3.556,224.3707,6.296505756,FALSE,1737947.64,A,202307,-865,3117.04,1060.39,199.05,1012.3,5381.72
182,1,7/26/13,2013,81.54,3.62,224.3526,6.294542699,FALSE,1802755.11,A,202307,-858,332.17,673.19,1,38.63,1245.2
183,2,2/5/10,2010,40.19,2.572,210.7526053,8.324,FALSE,1939061.41,A,202307,371,NA,NA,NA,NA,NA
184,2,2/12/10,2010,38.49,2.548,210.8979935,8.324,TRUE,1916812.74,A,202307,378,NA,NA,NA,NA,NA
185,2,2/19/10,2010,39.69,2.514,210.9451605,8.324,FALSE,1956739.17,A,202307,385,NA,NA,NA,NA,NA
186,2,2/26/10,2010,46.1,2.561,210.9759573,8.324,FALSE,2658725.29,A,202307,392,NA,NA,NA,NA,NA
187,2,3/5/10,2010,47.17,2.625,211.0067542,8.324,FALSE,2015781.27,A,202307,399,NA,NA,NA,NA,NA
188,2,3/12/10,2010,57.56,2.667,211.037551,8.324,FALSE,2378726.55,A,202307,406,NA,NA,NA,NA,NA
189,2,3/19/10,2010,54.52,2.72,210.8733316,8.324,FALSE,2609166.75,A,202307,413,NA,NA,NA,NA,NA
190,2,3/26/10,2010,51.26,2.732,210.6766095,8.324,FALSE,3436007.68,A,202307,420,NA,NA,NA,NA,NA
191,2,4/2/10,2010,63.27,2.719,210.4798874,8.2,FALSE,1750434.55,A,202307,427,NA,NA,NA,NA,NA
192,2,4/9/10,2010,65.41,2.77,210.2831653,8.2,FALSE,1758050.79,A,202307,434,NA,NA,NA,NA,NA
193,2,4/16/10,2010,68.07,2.808,210.1495463,8.2,FALSE,1744193.58,A,202307,441,NA,NA,NA,NA,NA
194,2,4/23/10,2010,65.11,2.795,210.1000648,8.2,FALSE,1751384.9,A,202307,448,NA,NA,NA,NA,NA
195,2,4/30/10,2010,66.98,2.78,210.0505833,8.2,FALSE,1695371.68,A,202307,455,NA,NA,NA,NA,NA
196,2,5/7/10,2010,71.28,2.835,210.0011018,8.2,FALSE,1929346.23,A,202307,462,NA,NA,NA,NA,NA
197,2,5/14/10,2010,73.31,2.854,209.9984585,8.2,FALSE,2168041.61,A,202307,469,NA,NA,NA,NA,NA
198,2,5/21/10,2010,74.83,2.826,210.2768443,8.2,FALSE,2080884.82,A,202307,476,NA,NA,NA,NA,NA
199,2,5/28/10,2010,81.13,2.759,210.5552301,8.2,FALSE,1833511.08,A,202307,483,NA,NA,NA,NA,NA
200,2,6/4/10,2010,81.81,2.705,210.833616,8.2,FALSE,1981607.78,A,202307,490,NA,NA,NA,NA,NA
201,2,6/11/10,2010,83.4,2.668,211.1120018,8.2,FALSE,1879107.31,A,202307,497,NA,NA,NA,NA,NA
202,2,6/18/10,2010,85.81,2.637,211.1096543,8.2,FALSE,1902557.66,A,202307,504,NA,NA,NA,NA,NA
203,2,6/25/10,2010,86.26,2.653,210.9950134,8.2,FALSE,1766162.05,A,202307,511,NA,NA,NA,NA,NA
204,2,7/2/10,2010,82.74,2.669,210.8803726,8.099,FALSE,1800171.36,A,202307,518,NA,NA,NA,NA,NA
